sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:﻿field,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Max Tumour Diameter,66,3,,,0.27,FLAGGED,EQUAL,TIM,1.72E+12,35947520,ARL2BP (ADP ribosylation factor like GTPase 2 binding protein) gene variant measurement,Measurement,MAPS_TO,,<auto>,1.72E+12,
pT,4c,13,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919553,pT4c,Meas Value,MAPS_TO,,TIM,1.72E+12,
cM,1c,623,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919795,cM1c,Meas Value,MAPS_TO,,TIM,1.72E+12,
HER2,0,801,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pN,Xc,2,,,0.42,APPROVED,EQUAL,TIM,1.72E+12,35919633,pNX,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,a,5,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pT,3d,3,,,1,APPROVED,WIDER,TIM,1.72E+12,35919641,pT3d,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,12,61,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45882131,12,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,1a1,13,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919524,pT1a1,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,3,14,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
cN,0,20581,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919626,cN0,Meas Value,MAPS_TO,,TIM,1.72E+12,
cM,0a,2,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919673,cM0,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,4,5715,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919454,cT4,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,34,20,,,1,FLAGGED,EQUAL,TIM,1.72E+12,36309045,34,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,71,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815312,71,Observation,MAPS_TO,,<auto>,1.72E+12,
cN,X,1324,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919166,cNX,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,1c,3307,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919136,pT1c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,103,1,,,0.52,FLAGGED,EQUAL,TIM,1.72E+12,4118500,MY 1039,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,1c3,2,,,0.74,APPROVED,EQUAL,TIM,1.72E+12,35919136,pT1c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,60,147,,,1,FLAGGED,EQUAL,TIM,1.72E+12,1620405,60,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,1mi,272,,,0.68,APPROVED,EQUAL,TIM,1.72E+12,35919402,pN1mi,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,32,38,,,1,FLAGGED,EQUAL,TIM,1.72E+12,36309545,32,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,130,10,,,0.58,FLAGGED,EQUAL,TIM,1.72E+12,922253,pectin 130 MG,Drug,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,170,1,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,41232678,Niacin 170 MG,Drug,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,38,37,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37159540,III:8,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,28,62,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815162,28,Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,6,15,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pT,3a,1818,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919839,pT3a,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,1d,1,,,0.41,APPROVED,EQUAL,TIM,1.72E+12,35919802,cT1d,Meas Value,MAPS_TO,,TIM,1.72E+12,
cM,Xa,1,,,0.43,FLAGGED,EQUAL,TIM,1.72E+12,4132135,Absent,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,98,1,,,0.47,FLAGGED,EQUAL,TIM,1.72E+12,35815347,987,Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,160,3,,,0.64,FLAGGED,EQUAL,TIM,1.72E+12,4131461,9160,Meas Value,MAPS_TO,,<auto>,1.72E+12,
