sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
MC/537/42/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708789434,
RD/2214/10,hours,1,,0.78,APPROVED,EQUAL,vvcb,1704710403608,8505,hour,Unit,MAPS_TO,,<auto>,1704708789465,
MC/6349/29/580/9,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708789544,
RD/6036/11,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AG/116/3/72/1,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
AG/253/117/760/11,secs,1,,0.37,APPROVED,EQUAL,vvcb,1704712929835,8555,second,Unit,MAPS_TO,,vvcb,1704712922850,
AG/2018/2/1275/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708789919,
AG/232/1/257/10,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
AG/1381/2/964/31,hours,1,,0.78,APPROVED,EQUAL,vvcb,1704710403608,8505,hour,Unit,MAPS_TO,,<auto>,1704708790044,
MC/4299/49/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708790075,
RD/5352/37,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708790153,
RD/6036/22,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AG/1247/1/892/8,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
AG/253/117/760/5,secs,1,,0.37,APPROVED,EQUAL,vvcb,1704712929835,8555,second,Unit,MAPS_TO,,vvcb,1704712922850,
AG/1731/2/1185/10,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
AD/2045/1,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708790559,
RD/6289/7,hours,1,,0.78,APPROVED,EQUAL,vvcb,1704710403608,8505,hour,Unit,MAPS_TO,,<auto>,1704708790606,
MC/4299/49/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708790715,
RD/5352/73,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708790731,
MC/3995/35/124/6,secs,1,,0.37,APPROVED,EQUAL,vvcb,1704712929835,8555,second,Unit,MAPS_TO,,vvcb,1704712922850,
RD/5386/31,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AG/1247/2/903/8,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
AG/1731/1/257/10,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
RD/5073/8,hours,1,,0.78,APPROVED,EQUAL,vvcb,1704710403608,8505,hour,Unit,MAPS_TO,,<auto>,1704708791169,
AD/2046/1,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708791215,
